name,slug,category,url
2XU,2xu,performance_apparel,https://www.doublesave.com/au/discount-codes/2xu/
7-Eleven,7-eleven,convenience_fuel,https://www.doublesave.com/au/discount-codes/7-eleven/
99 Bikes,99-bikes,cycling,https://www.doublesave.com/au/discount-codes/99-bikes/
Accor,accor,hotels,https://www.doublesave.com/au/discount-codes/accor/
Adairs,adairs,homewares,https://www.doublesave.com/au/discount-codes/adairs/
adidas,adidas,sportswear,https://www.doublesave.com/au/discount-codes/adidas/
Adore Beauty,adore-beauty,beauty_online,https://www.doublesave.com/au/discount-codes/adore-beauty/
Adrenaline,adrenaline,experiences_gifting,https://www.doublesave.com/au/discount-codes/adrenaline/
Aesop,aesop,luxury_skincare,https://www.doublesave.com/au/discount-codes/aesop/
Agoda,agoda,travel_booking,https://www.doublesave.com/au/discount-codes/agoda/
Airbnb,airbnb,travel_booking,https://www.doublesave.com/au/discount-codes/airbnb/
Aje,aje,designer_fashion,https://www.doublesave.com/au/discount-codes/aje/
ALDI,aldi,groceries,https://www.doublesave.com/au/discount-codes/aldi/
AliExpress,aliexpress,marketplace,https://www.doublesave.com/au/discount-codes/aliexpress/
Amart Furniture,amart-furniture,furniture,https://www.doublesave.com/au/discount-codes/amart-furniture/
Amazon,amazon,marketplace,https://www.doublesave.com/au/discount-codes/amazon/
Amcal,amcal,pharmacy,https://www.doublesave.com/au/discount-codes/amcal/
Ampol,ampol,fuel,https://www.doublesave.com/au/discount-codes/ampol/
Anaconda,anaconda,outdoor_adventure,https://www.doublesave.com/au/discount-codes/anaconda/
Apple,apple,consumer_electronics,https://www.doublesave.com/au/discount-codes/apple/
Appliances Online,appliances-online,appliances_online,https://www.doublesave.com/au/discount-codes/appliances-online/
ASICS,asics,sportswear,https://www.doublesave.com/au/discount-codes/asics/
ASOS,asos,online_fashion_marketplace,https://www.doublesave.com/au/discount-codes/asos/
Audible,audible,digital_subscriptions,https://www.doublesave.com/au/discount-codes/audible/
Australia Zoo,australia-zoo,zoos_attractions,https://www.doublesave.com/au/discount-codes/australia-zoo/
Autobarn,autobarn,automotive,https://www.doublesave.com/au/discount-codes/autobarn/
Avis,avis,car_hire,https://www.doublesave.com/au/discount-codes/avis/
Baby Bunting,baby-bunting,baby_retail,https://www.doublesave.com/au/discount-codes/baby-bunting/
Bailey Nelson,bailey-nelson,optical,https://www.doublesave.com/au/discount-codes/bailey-nelson/
Bakers Delight,bakers-delight,bakery,https://www.doublesave.com/au/discount-codes/bakers-delight/
Barbeques Galore,barbeques-galore,bbq_outdoor,https://www.doublesave.com/au/discount-codes/barbeques-galore/
Bared Footwear,bared-footwear,comfort_footwear,https://www.doublesave.com/au/discount-codes/bared-footwear/
BCF,bcf,outdoor_boating_camping_fishing,https://www.doublesave.com/au/discount-codes/bcf/
Beacon Lighting,beacon-lighting,lighting,https://www.doublesave.com/au/discount-codes/beacon-lighting/
Beauty Bay,beauty-bay,beauty,https://www.doublesave.com/au/discount-codes/beauty-bay/
Bed Bath N' Table,bed-bath-n-table,homewares_bedding,https://www.doublesave.com/au/discount-codes/bed-bath-n-table/
Bed Threads,bed-threads,linen_dtc,https://www.doublesave.com/au/discount-codes/bed-threads/
Beginning Boutique,beginning-boutique,youth_fashion_online,https://www.doublesave.com/au/discount-codes/beginning-boutique/
Bellroy,bellroy,carry_goods,https://www.doublesave.com/au/discount-codes/bellroy/
Berlei,berlei,fashion,https://www.doublesave.com/au/discount-codes/berlei/
Best&Less,best-and-less,value_family_clothing,https://www.doublesave.com/au/discount-codes/best-and-less/
Betty's Burgers,bettys-burgers,fast_casual,https://www.doublesave.com/au/discount-codes/bettys-burgers/
Big W,big-w,discount_department,https://www.doublesave.com/au/discount-codes/big-w/
BIG4 Holiday Parks,big4,travel,https://www.doublesave.com/au/discount-codes/big4/
Billabong,billabong,surfwear,https://www.doublesave.com/au/discount-codes/billabong/
Bing Lee,bing-lee,electronics_appliances,https://www.doublesave.com/au/discount-codes/bing-lee/
Binge,binge,streaming,https://www.doublesave.com/au/discount-codes/binge/
Birkenstock,birkenstock,sandals,https://www.doublesave.com/au/discount-codes/birkenstock/
Blundstone,blundstone,work_boots,https://www.doublesave.com/au/discount-codes/blundstone/
Bondi Sands,bondi-sands,beauty,https://www.doublesave.com/au/discount-codes/bondi-sands/
Bonds,bonds,underwear_apparel,https://www.doublesave.com/au/discount-codes/bonds/
Boody,boody,underwear_basics,https://www.doublesave.com/au/discount-codes/boody/
Booking.com,booking-com,travel_accommodation,https://www.doublesave.com/au/discount-codes/booking-com/
Booktopia,booktopia,books,https://www.doublesave.com/au/discount-codes/booktopia/
Boost Juice,boost-juice,juice_bars,https://www.doublesave.com/au/discount-codes/boost-juice/
Bose,bose,audio,https://www.doublesave.com/au/discount-codes/bose/
BP,bp,fuel,https://www.doublesave.com/au/discount-codes/bp/
Bras N Things,bras-n-things,lingerie,https://www.doublesave.com/au/discount-codes/bras-n-things/
Breville,breville,kitchen_appliances,https://www.doublesave.com/au/discount-codes/breville/
Brooks,brooks,footwear,https://www.doublesave.com/au/discount-codes/brooks/
Budget,budget,car_hire,https://www.doublesave.com/au/discount-codes/budget/
Budget Pet Products,budget-pet-products,pet_supplies,https://www.doublesave.com/au/discount-codes/budget-pet-products/
Bunnings,bunnings,hardware_home_improvement,https://www.doublesave.com/au/discount-codes/bunnings/
BWS,bws,liquor_retail,https://www.doublesave.com/au/discount-codes/bws/
Calvin Klein,calvin-klein,premium_fashion,https://www.doublesave.com/au/discount-codes/calvin-klein/
Camera House,camera-house,camera_retail,https://www.doublesave.com/au/discount-codes/camera-house/
Camilla,camilla,luxury_resortwear,https://www.doublesave.com/au/discount-codes/camilla/
Camilla and Marc,camilla-and-marc,designer_fashion,https://www.doublesave.com/au/discount-codes/camilla-and-marc/
Canva,canva,design_software,https://www.doublesave.com/au/discount-codes/canva/
Centre Com,centre-com,computing,https://www.doublesave.com/au/discount-codes/centre-com/
Cettire,cettire,luxury_fashion,https://www.doublesave.com/au/discount-codes/cettire/
Champion,champion,streetwear,https://www.doublesave.com/au/discount-codes/champion/
Chemist Warehouse,chemist-warehouse,health_pharmacy,https://www.doublesave.com/au/discount-codes/chemist-warehouse/
City Beach,city-beach,youth_fashion,https://www.doublesave.com/au/discount-codes/city-beach/
Clark Rubber,clark-rubber,home_leisure,https://www.doublesave.com/au/discount-codes/clark-rubber/
Clearly,clearly,optical,https://www.doublesave.com/au/discount-codes/clearly/
Coles,coles,grocery,https://www.doublesave.com/au/discount-codes/coles/
Connor,connor,fashion,https://www.doublesave.com/au/discount-codes/connor/
Converse,converse,sneakers,https://www.doublesave.com/au/discount-codes/converse/
Costco,costco,warehouse_club,https://www.doublesave.com/au/discount-codes/costco/
Cotton On,cotton-on,fashion_apparel,https://www.doublesave.com/au/discount-codes/cotton-on/
Cotton On Body,cotton-on-body,fashion,https://www.doublesave.com/au/discount-codes/cotton-on-body/
Country Road,country-road,premium_fashion,https://www.doublesave.com/au/discount-codes/country-road/
Crocs,crocs,casual_footwear,https://www.doublesave.com/au/discount-codes/crocs/
Crust Pizza,crust-pizza,fast_casual,https://www.doublesave.com/au/discount-codes/crust-pizza/
Cue,cue,womens_fashion,https://www.doublesave.com/au/discount-codes/cue/
Culture Kings,culture-kings,streetwear,https://www.doublesave.com/au/discount-codes/culture-kings/
Currumbin Wildlife Sanctuary,currumbin-wildlife-sanctuary,attractions,https://www.doublesave.com/au/discount-codes/currumbin-wildlife-sanctuary/
Daiso,daiso,discount_variety,https://www.doublesave.com/au/discount-codes/daiso/
Dan Murphy's,dan-murphys,liquor_retail,https://www.doublesave.com/au/discount-codes/dan-murphys/
David Jones,david-jones,department_store,https://www.doublesave.com/au/discount-codes/david-jones/
De'Longhi,delonghi,kitchen_appliances,https://www.doublesave.com/au/discount-codes/delonghi/
Decathlon,decathlon,sporting_goods,https://www.doublesave.com/au/discount-codes/decathlon/
Dell,dell,computers,https://www.doublesave.com/au/discount-codes/dell/
DiDi,didi,rideshare,https://www.doublesave.com/au/discount-codes/didi/
digiDirect,digidirect,camera_retail,https://www.doublesave.com/au/discount-codes/digidirect/
Dinnerly,dinnerly,meal_kits,https://www.doublesave.com/au/discount-codes/dinnerly/
Discovery Parks,discovery-parks,travel,https://www.doublesave.com/au/discount-codes/discovery-parks/
DJI,dji,drones_cameras,https://www.doublesave.com/au/discount-codes/dji/
Domino's,dominos,fast_food_delivery,https://www.doublesave.com/au/discount-codes/dominos/
Donut King,donut-king,treats_fastfood,https://www.doublesave.com/au/discount-codes/donut-king/
DoorDash,doordash,food_delivery,https://www.doublesave.com/au/discount-codes/doordash/
Dotti,dotti,fashion,https://www.doublesave.com/au/discount-codes/dotti/
Dr. Martens,dr-martens,boots,https://www.doublesave.com/au/discount-codes/dr-martens/
Dreamworld,dreamworld,theme_parks,https://www.doublesave.com/au/discount-codes/dreamworld/
Dresden Vision,dresden-vision,optical,https://www.doublesave.com/au/discount-codes/dresden-vision/
Drummond Golf,drummond-golf,golf,https://www.doublesave.com/au/discount-codes/drummond-golf/
dusk,dusk,home_fragrance,https://www.doublesave.com/au/discount-codes/dusk/
Dymocks,dymocks,books,https://www.doublesave.com/au/discount-codes/dymocks/
Dyson,dyson,premium_appliances,https://www.doublesave.com/au/discount-codes/dyson/
Easyflowers,easyflowers,flowers_gifting,https://www.doublesave.com/au/discount-codes/easyflowers/
EatClub,eatclub,dining,https://www.doublesave.com/au/discount-codes/eatclub/
EB Games,eb-games,gaming_retail,https://www.doublesave.com/au/discount-codes/eb-games/
eBay,ebay,marketplace,https://www.doublesave.com/au/discount-codes/ebay/
Ecosa,ecosa,mattresses,https://www.doublesave.com/au/discount-codes/ecosa/
Elite Supps,elite-supps,supplements_retail,https://www.doublesave.com/au/discount-codes/elite-supps/
Emma Sleep,emma-sleep,mattresses,https://www.doublesave.com/au/discount-codes/emma-sleep/
Europcar,europcar,car_hire,https://www.doublesave.com/au/discount-codes/europcar/
Event Cinemas,event-cinemas,cinema,https://www.doublesave.com/au/discount-codes/event-cinemas/
Expedia,expedia,travel_booking,https://www.doublesave.com/au/discount-codes/expedia/
Factorie,factorie,fashion,https://www.doublesave.com/au/discount-codes/factorie/
Fantastic Furniture,fantastic-furniture,furniture,https://www.doublesave.com/au/discount-codes/fantastic-furniture/
Farfetch,farfetch,luxury_fashion,https://www.doublesave.com/au/discount-codes/farfetch/
First Choice Liquor,first-choice-liquor,liquor,https://www.doublesave.com/au/discount-codes/first-choice-liquor/
First Table,first-table,dining,https://www.doublesave.com/au/discount-codes/first-table/
Flight Centre,flight-centre,travel_agency,https://www.doublesave.com/au/discount-codes/flight-centre/
Foot Locker,foot-locker,footwear,https://www.doublesave.com/au/discount-codes/foot-locker/
Forever New,forever-new,womens_fashion,https://www.doublesave.com/au/discount-codes/forever-new/
Forty Winks,forty-winks,bedding_retail,https://www.doublesave.com/au/discount-codes/forty-winks/
Frank Body,frank-body,skincare,https://www.doublesave.com/au/discount-codes/frank-body/
Frank Green,frank-green,drinkware,https://www.doublesave.com/au/discount-codes/frank-green/
FRANKiE4,frankie4,comfort_footwear,https://www.doublesave.com/au/discount-codes/frankie4/
Freedom,freedom,furniture_homewares,https://www.doublesave.com/au/discount-codes/freedom/
Garmin,garmin,wearables,https://www.doublesave.com/au/discount-codes/garmin/
ghd,ghd,haircare_tools,https://www.doublesave.com/au/discount-codes/ghd/
Glassons,glassons,womens_fashion,https://www.doublesave.com/au/discount-codes/glassons/
Glue Store,glue-store,youth_multi_brand,https://www.doublesave.com/au/discount-codes/glue-store/
Go-To Skincare,go-to-skincare,skincare,https://www.doublesave.com/au/discount-codes/go-to-skincare/
GoPro,gopro,action_cameras,https://www.doublesave.com/au/discount-codes/gopro/
Gorman,gorman,womens_fashion,https://www.doublesave.com/au/discount-codes/gorman/
Greyhound Australia,greyhound,travel,https://www.doublesave.com/au/discount-codes/greyhound/
Grill'd,grilld,burger_restaurants,https://www.doublesave.com/au/discount-codes/grilld/
Groupon,groupon,deals_marketplace,https://www.doublesave.com/au/discount-codes/groupon/
Guzman y Gomez,guzman-y-gomez,mexican_fast_food,https://www.doublesave.com/au/discount-codes/guzman-y-gomez/
Gymshark,gymshark,gym_apparel,https://www.doublesave.com/au/discount-codes/gymshark/
H&M,h-and-m,fast_fashion,https://www.doublesave.com/au/discount-codes/h-and-m/
Hairhouse,hairhouse,hair_beauty,https://www.doublesave.com/au/discount-codes/hairhouse/
Harris Scarfe,harris-scarfe,department_homewares,https://www.doublesave.com/au/discount-codes/harris-scarfe/
Harvey Norman,harvey-norman,electronics_appliances,https://www.doublesave.com/au/discount-codes/harvey-norman/
Hello Molly,hello-molly,occasionwear_online,https://www.doublesave.com/au/discount-codes/hello-molly/
HelloFresh,hellofresh,meal_kits,https://www.doublesave.com/au/discount-codes/hellofresh/
Hertz,hertz,car_hire,https://www.doublesave.com/au/discount-codes/hertz/
HOKA,hoka,footwear,https://www.doublesave.com/au/discount-codes/hoka/
Honey Birdette,honey-birdette,lingerie,https://www.doublesave.com/au/discount-codes/honey-birdette/
Hotels.com,hotels-com,travel_booking,https://www.doublesave.com/au/discount-codes/hotels-com/
House,house,homewares,https://www.doublesave.com/au/discount-codes/house/
Hoyts,hoyts,cinema,https://www.doublesave.com/au/discount-codes/hoyts/
HP,hp,computers,https://www.doublesave.com/au/discount-codes/hp/
Hungry Jack's,hungry-jacks,fast_food,https://www.doublesave.com/au/discount-codes/hungry-jacks/
Hype DC,hype-dc,sneakers,https://www.doublesave.com/au/discount-codes/hype-dc/
IGA,iga,groceries,https://www.doublesave.com/au/discount-codes/iga/
iHerb,iherb,health_supplements,https://www.doublesave.com/au/discount-codes/iherb/
IKEA,ikea,flat_pack_furniture,https://www.doublesave.com/au/discount-codes/ikea/
Interflora,interflora,flowers_gifting,https://www.doublesave.com/au/discount-codes/interflora/
Jacqui E,jacqui-e,fashion,https://www.doublesave.com/au/discount-codes/jacqui-e/
JAG,jag,fashion,https://www.doublesave.com/au/discount-codes/jag/
Jay Jays,jay-jays,fashion,https://www.doublesave.com/au/discount-codes/jay-jays/
JB Hi-Fi,jb-hi-fi,consumer_electronics,https://www.doublesave.com/au/discount-codes/jb-hi-fi/
JD Sports,jd-sports,sports_fashion,https://www.doublesave.com/au/discount-codes/jd-sports/
Jetstar,jetstar,flights_travel,https://www.doublesave.com/au/discount-codes/jetstar/
Johnny Bigg,johnny-bigg,fashion,https://www.doublesave.com/au/discount-codes/johnny-bigg/
Journey Beyond,journey-beyond,travel,https://www.doublesave.com/au/discount-codes/journey-beyond/
July,july,luggage,https://www.doublesave.com/au/discount-codes/july/
Just Jeans,just-jeans,fashion,https://www.doublesave.com/au/discount-codes/just-jeans/
Kathmandu,kathmandu,outdoor_gear,https://www.doublesave.com/au/discount-codes/kathmandu/
Kayo Sports,kayo-sports,streaming,https://www.doublesave.com/au/discount-codes/kayo-sports/
KFC,kfc,fast_food,https://www.doublesave.com/au/discount-codes/kfc/
King Living,king-living,furniture,https://www.doublesave.com/au/discount-codes/king-living/
Kitchen Warehouse,kitchen-warehouse,homewares,https://www.doublesave.com/au/discount-codes/kitchen-warehouse/
Klook,klook,travel,https://www.doublesave.com/au/discount-codes/klook/
Kmart,kmart,discount_department,https://www.doublesave.com/au/discount-codes/kmart/
Koala,koala,mattress_dtc,https://www.doublesave.com/au/discount-codes/koala/
Kogan,kogan,online_marketplace,https://www.doublesave.com/au/discount-codes/kogan/
Krispy Kreme,krispy-kreme,treats_fastfood,https://www.doublesave.com/au/discount-codes/krispy-kreme/
LEGO,lego,toys,https://www.doublesave.com/au/discount-codes/lego/
Lenovo,lenovo,computers,https://www.doublesave.com/au/discount-codes/lenovo/
Levi's,levis,denim,https://www.doublesave.com/au/discount-codes/levis/
Lincraft,lincraft,craft_fabric,https://www.doublesave.com/au/discount-codes/lincraft/
Liquorland,liquorland,liquor_retail,https://www.doublesave.com/au/discount-codes/liquorland/
Lite n' Easy,lite-n-easy,prepared_meals,https://www.doublesave.com/au/discount-codes/lite-n-easy/
Logitech,logitech,gaming_gear,https://www.doublesave.com/au/discount-codes/logitech/
LOOKFANTASTIC,lookfantastic,beauty,https://www.doublesave.com/au/discount-codes/lookfantastic/
Lorna Jane,lorna-jane,activewear,https://www.doublesave.com/au/discount-codes/lorna-jane/
Lounge Lovers,lounge-lovers,furniture,https://www.doublesave.com/au/discount-codes/lounge-lovers/
Lovisa,lovisa,fashion_jewellery,https://www.doublesave.com/au/discount-codes/lovisa/
Lowes,lowes,fashion,https://www.doublesave.com/au/discount-codes/lowes/
